ticker,entry_date,exit_date,entry_px,exit_px,ret,hold_days,reason
HIG,2005-10-19,2005-10-20,46.30279674883521,47.85949062549219,0.03361986717781007,0,open_exit
AVT,2005-10-20,2005-10-24,17.570860804348325,17.512734000990502,-0.003308136351716895,1,open_exit
NEE,2005-10-20,2005-10-24,5.771804636461181,5.780283208978867,0.0014689638772813485,1,open_exit
EEFT,2005-10-20,2005-10-24,28.229844901599154,28.595695610046388,0.01295971372575666,1,open_exit
ROP,2005-10-21,2005-10-24,30.414135615579657,31.42774098220498,0.03332678526316912,0,open_exit
GD,2005-10-21,2005-10-25,37.05668297251351,37.50440066337462,0.012081968890556238,1,open_exit
CNP,2005-10-21,2005-10-25,5.689093748989757,5.7908777277088745,0.017891070741661075,1,open_exit
DVA,2005-10-25,2005-10-27,23.856333611692015,24.087950381278993,0.00970881667556256,1,open_exit
JBL,2005-10-26,2005-10-31,22.956879482603867,22.899069496363527,-0.0025181987945769313,2,open_exit
LOW,2005-10-27,2005-10-31,20.715903844899692,21.344308837041833,0.030334423100581098,1,open_exit
KR,2005-10-27,2005-10-31,6.775466892420811,6.860872737201364,0.012605160077763689,1,open_exit
AU,2005-10-31,2005-11-02,30.252313777002136,30.68862422281225,0.01442238266554674,1,open_exit
QCOM,2005-10-28,2005-11-03,25.140898073475537,26.677704010335226,0.06112772631941388,3,open_exit
NEM,2005-10-31,2005-11-03,29.117251385952333,29.230426545341075,0.0038868764736270656,2,open_exit
CL,2005-11-07,2005-11-08,15.876436647447226,15.992082087036321,0.007284092908070194,0,open_exit
SNPS,2005-11-07,2005-11-09,18.249184054530378,18.520735686302185,0.014880206751183067,1,open_exit
KR,2005-11-08,2005-11-10,6.636405189495164,6.617089467446621,-0.0029105700295573023,1,open_exit
THO,2005-11-08,2005-11-11,19.380519115633923,19.90520720989261,0.027072963893698176,2,open_exit
LAMR,2005-11-09,2005-11-11,23.449917814438074,24.138142190735927,0.029348690334177308,1,open_exit
RHI,2005-11-09,2005-11-11,22.10719756926325,22.946029474521392,0.03794383718831984,1,open_exit
ITT,2005-11-09,2005-11-11,12.429617566378933,12.813460130540452,0.030881285133002034,1,open_exit
NBIX,2005-11-10,2005-11-11,53.581566768545045,54.762605915069585,0.02204189272079793,0,open_exit
BKR,2005-11-09,2005-11-14,25.923702794203553,25.552444857891675,-0.014321177003884245,2,open_exit
EOG,2005-11-10,2005-11-14,21.662378246240262,22.201960471767727,0.02490872513599074,1,open_exit
OVV,2005-11-10,2005-11-14,71.04287427578835,71.3187703366241,0.00388351490066019,1,open_exit
WMB,2005-11-10,2005-11-14,6.71076363666669,7.342133100617635,0.09408310262951725,1,open_exit
MDU,2005-11-10,2005-11-15,4.438130815144814,4.520445750789559,0.01854720806422616,2,open_exit
