Date,equity
2005-06-01,100637.54567677356
2005-06-02,101074.16680199112
2005-06-03,100430.16094171038
2005-06-06,100090.69449555033
2005-06-07,99854.96481493696
2005-06-08,99456.812565639
2005-06-09,100529.24978607305
2005-06-10,100056.56015267086
2005-06-13,100738.37120859759
2005-06-14,100911.54515371445
2005-06-15,100585.24538676704
2005-06-16,101199.78873175658
2005-06-17,100907.8986456516
2005-06-20,101515.349418841
2005-06-21,101411.72986491406
2005-06-22,101118.34980951756
2005-06-23,98855.59200703795
2005-06-24,98532.3098809965
2005-06-27,98503.47165235535
2005-06-28,100148.55629588375
2005-06-29,99059.71293915523
2005-06-30,98266.37373287685
2005-07-01,98409.37761655592
2005-07-05,98948.75408228327
2005-07-06,98289.55103279265
2005-07-07,98781.65075828574
2005-07-08,100779.02400409924
2005-07-11,100856.4335770178
2005-07-12,100722.70933524214
2005-07-13,100590.54513222293
2005-07-14,100345.75373542224
2005-07-15,100574.77040487903
2005-07-18,100712.46370738954
2005-07-19,101238.33642870159
2005-07-20,101179.09746034982
2005-07-21,101017.49454565867
2005-07-22,101718.8113407335
2005-07-25,101490.30922448385
2005-07-26,101675.6640079687
2005-07-27,102487.01600625312
2005-07-28,103295.36677897062
2005-07-29,103044.90805664362
2005-08-01,103076.9619707347
2005-08-02,102951.18868760363
2005-08-03,102521.65181746436
2005-08-04,102088.22784882576
2005-08-05,100969.99631405144
2005-08-08,100476.89584881833
2005-08-09,100736.34716047917
2005-08-10,100489.20517250035
2005-08-11,101873.32235523284
2005-08-12,101402.32218655196
2005-08-15,102335.18534959754
2005-08-16,101548.65772234113
2005-08-17,101935.26222565686
2005-08-18,100571.92463286803
2005-08-19,101214.98557936508
2005-08-22,100690.22098590899
2005-08-23,100112.4589434803
2005-08-24,99401.87265629957
2005-08-25,99721.16261516431
2005-08-26,99305.79089614219
2005-08-29,99759.73703924424
2005-08-30,98645.6464036506
2005-08-31,99698.96813380609
2005-09-01,98359.64716725427
2005-09-02,98200.59768345935
2005-09-06,99526.80527628624
2005-09-07,100671.66478295617
2005-09-08,99778.65828879291
2005-09-09,100093.50458057722
2005-09-12,101461.33871289217
2005-09-13,101497.07820655411
2005-09-14,100791.13813563286
2005-09-15,100095.1020895642
2005-09-16,100436.18252328064
2005-09-19,99188.07900306612
2005-09-20,98204.65900571858
2005-09-21,96740.40659590458
2005-09-22,97887.3256109656
2005-09-23,98737.84940138273
2005-09-26,98396.53727103712
2005-09-27,98664.61671139387
2005-09-28,98265.46846707398
2005-09-29,98326.61268769867
2005-09-30,99069.5607938577
2005-10-03,98706.15779680583
2005-10-04,97926.31279755828
2005-10-05,96309.57556178133
2005-10-06,95670.66161115056
2005-10-07,95850.75384577441
2005-10-10,95790.1116125932
2005-10-11,96015.66820417733
2005-10-12,95918.6763005974
2005-10-13,96077.47152238719
2005-10-14,97154.27697673388
2005-10-17,96978.19892828507
2005-10-18,95763.2728782736
2005-10-19,95769.87313905897
2005-10-20,94334.93003357254
2005-10-21,93648.3016902369
2005-10-24,94877.49218487093
2005-10-25,94465.92253038265
2005-10-26,94012.4606146866
2005-10-27,93191.81560766326
2005-10-28,95067.34155381029
2005-10-31,96443.15719016513
2005-11-01,96554.77842162584
2005-11-02,98362.57589623885
2005-11-03,97846.66370859434
2005-11-04,97386.55958679633
2005-11-07,97237.15581074072
2005-11-08,97211.8181308362
2005-11-09,97096.49128278565
2005-11-10,98211.16762362258
2005-11-11,98244.83839055212
2005-11-14,99450.7089797754
2005-11-15,99514.70995712878
2005-11-16,99344.597015123
2005-11-17,100101.3579026358
2005-11-18,100505.90784923444
2005-11-21,101606.77975485523
2005-11-22,102019.32219769039
2005-11-23,102317.81077758764
2005-11-25,102341.23621214186
2005-11-28,102397.31668625842
2005-11-29,102480.4411495558
2005-11-30,101895.41700821061
2005-12-01,102336.56553004618
2005-12-02,102204.26752787213
2005-12-05,101245.96177588706
2005-12-06,100769.99666876328
2005-12-07,100694.73821380618
2005-12-08,100892.4529061316
2005-12-09,101017.8945552929
2005-12-12,100633.0900800233
2005-12-13,100750.91037533928
2005-12-14,100735.67041962208
2005-12-15,100691.71695547832
2005-12-16,101006.80763132276
2005-12-19,100859.31700874392
2005-12-20,101248.44758066232
2005-12-21,101626.87631252079
2005-12-22,101567.27910761074
2005-12-23,102040.48531589656
2005-12-27,100858.07012792981
2005-12-28,101262.59842632215
2005-12-29,101048.74600186147
2005-12-30,100598.83413929136
2006-01-03,101643.78389871481
2006-01-04,102179.07398255309
2006-01-05,103189.32055233096
2006-01-06,104129.16936643532
2006-01-09,104404.96668255099
2006-01-10,104164.52372725614
2006-01-11,104291.03399795796
2006-01-12,104825.568073366
2006-01-13,105943.83118186495
2006-01-17,104108.80974684212
2006-01-18,104955.54313823863
2006-01-19,105208.7035987183
2006-01-20,103697.3601785009
2006-01-23,103485.82776158597
2006-01-24,103953.73094535846
2006-01-25,103538.54089433484
2006-01-26,104709.60836204595
2006-01-27,104355.95716791153
2006-01-30,103389.54590059465
2006-01-31,102762.18077180277
2006-02-01,103228.59563944339
2006-02-02,102796.92185763043
2006-02-03,102091.24018303496
2006-02-06,102131.13885217319
