Date,equity
2005-06-01,100000.0
2005-06-02,100000.0
2005-06-03,100000.0
2005-06-06,100000.0
2005-06-07,100000.0
2005-06-08,100000.0
2005-06-09,100000.0
2005-06-10,100000.0
2005-06-13,100000.0
2005-06-14,100000.0
2005-06-15,100000.0
2005-06-16,100000.0
2005-06-17,100000.0
2005-06-20,100000.0
2005-06-21,100000.0
2005-06-22,100000.0
2005-06-23,100000.0
2005-06-24,99950.02498750627
2005-06-27,100084.8834506456
2005-06-28,100444.32436789553
2005-06-29,99537.86525503738
2005-06-30,98932.8321460302
2005-07-01,98860.38099069304
2005-07-05,100044.17603863671
2005-07-06,99112.43139656786
2005-07-07,99112.43139656786
2005-07-08,99112.43139656786
2005-07-11,99112.43139656786
2005-07-12,99112.43139656786
2005-07-13,99112.43139656786
2005-07-14,99112.43139656786
2005-07-15,99112.43139656786
2005-07-18,99112.43139656786
2005-07-19,99112.43139656786
2005-07-20,99112.43139656786
2005-07-21,99112.43139656786
2005-07-22,99112.43139656786
2005-07-25,99062.89994659458
2005-07-26,99374.21411335292
2005-07-27,99661.70991527861
2005-07-28,99776.57696892912
2005-07-29,98569.5079242163
2005-08-01,99239.2925672922
2005-08-02,100765.0859645334
2005-08-03,100887.57333711672
2005-08-04,100887.57333711672
2005-08-05,100887.57333711672
2005-08-08,100887.57333711672
2005-08-09,100887.57333711672
2005-08-10,100887.57333711672
2005-08-11,100887.57333711672
2005-08-12,100887.57333711672
2005-08-15,100887.57333711672
2005-08-16,100887.57333711672
2005-08-17,100887.57333711672
2005-08-18,100887.57333711672
2005-08-19,100887.57333711672
2005-08-22,100887.57333711672
2005-08-23,100887.57333711672
2005-08-24,100887.57333711672
2005-08-25,100837.15475973685
2005-08-26,100475.79285575982
2005-08-29,101437.3490864109
2005-08-30,101263.23578078872
2005-08-31,101999.7361496501
2005-09-01,101913.80308757379
2005-09-02,101854.9867782416
2005-09-06,103138.5359852133
2005-09-07,103138.5359852133
2005-09-08,103138.5359852133
2005-09-09,103138.5359852133
2005-09-12,103138.5359852133
2005-09-13,103138.5359852133
2005-09-14,103138.5359852133
2005-09-15,103138.5359852133
2005-09-16,103138.5359852133
2005-09-19,103138.5359852133
2005-09-20,103138.5359852133
2005-09-21,103138.5359852133
2005-09-22,103138.5359852133
2005-09-23,103138.5359852133
2005-09-26,103086.99248896884
2005-09-27,102783.02908242366
2005-09-28,102351.58178231696
2005-09-29,103399.22634664299
2005-09-30,103869.0311698395
2005-10-03,104139.46506410102
2005-10-04,102451.7897185512
