Date,3ll_refined,tom_exit1,tt_bear,ensemble,SPY
2005-06-01,1.0,1.0,1.0,,1.0
2005-06-02,1.0,1.0,1.0,1.0,1.0021579538704266
2005-06-03,1.0,1.0,1.0,1.0,0.9970957863778556
2005-06-06,1.0,1.0,0.9995002498750625,0.9999000499750125,0.9961826553012689
2005-06-07,1.0,1.0,0.995742193028122,0.9991481379610767,0.9969296608466175
2005-06-08,1.0,1.0,0.9933124938107905,0.9986605359560999,0.995104051262871
2005-06-09,1.0,1.0,0.9974066712645397,0.9994837800964358,0.9998341541413733
2005-06-10,1.0,1.0,1.005286270798654,1.0010629818713783,0.9975109137575432
2005-06-13,1.0,1.0,1.0047838788592243,1.0009629256013262,1.0006645021249525
2005-06-14,1.0,1.0,1.0022877951350282,1.000465607258609,1.0029876492845788
2005-06-15,1.0,1.0,1.0004046357464051,1.0000896601084095,1.004896508082352
2005-06-16,1.0,1.0,1.003681007561586,1.0007447281594664,1.0074694028840585
2005-06-17,1.0,1.0,1.0011258476865281,1.000235191213902,1.0112021000057054
2005-06-20,1.0,1.0,1.0006255349190687,1.0001352176815468,1.0115353765344237
2005-06-21,1.0,1.0,0.9951865494341627,0.9990479536168029,1.012118680377834
2005-06-22,1.0,1.0,0.9899835142331134,0.998003308937238,1.0129518250875282
2005-06-23,1.0,1.0,0.9779849252904484,0.9955841511845691,0.9987038106698457
2005-06-24,1.0,0.9995002498750627,0.9735667699431555,0.9945353558330228,0.9913717270380396
2005-06-27,1.0,1.0008488345064561,0.9730802298282417,0.9948385177104968,0.9927878026943286
2005-06-28,1.0,1.0044432436789554,0.991305924765064,0.9996370099941322,1.0011200888091056
2005-06-29,1.0,0.9953786525503738,0.9934928264526379,0.9973717009505434,0.9984535036825425
2005-06-30,1.0,0.9893283214603019,0.9932318021419742,0.9955005585624463,0.9930377367848165
2005-07-01,1.0,0.9881095080019769,0.993235268355966,0.995133328165488,0.9959536966566445
2005-07-05,1.0,0.9881095080019769,0.993235268355966,0.995133328165488,1.003953265587926
2005-07-06,1.0,0.9881095080019769,0.993235268355966,0.995133328165488,0.9955375438107146
2005-07-07,1.0,0.9881095080019769,0.993235268355966,0.995133328165488,0.9994535197171056
2005-07-08,1.0,0.9881095080019769,0.993235268355966,0.995133328165488,1.0108685438043754
2005-07-11,1.0,0.9881095080019769,0.992738898906513,0.9950338645644721,1.0160349359568364
2005-07-12,1.0,0.9881095080019769,0.9915627652631783,0.9947980940500577,1.0187012414107879
2005-07-13,1.0,0.9881095080019769,0.9905543213021133,0.9945957471758974,1.020117317067077
2005-07-14,1.0,0.9881095080019769,0.9932075481208632,0.9951285575535762,1.024117008308514
2005-07-15,1.0,0.9881095080019769,0.9980783456353046,0.9961046012241771,1.0235337044651038
2005-07-18,1.0,0.9881095080019769,0.9975795558573758,0.9960050405443945,1.0194508572338439
2005-07-19,1.0,0.9881095080019769,1.005383047594665,0.9975632755861115,1.025033961577458
2005-07-20,1.0,0.9881095080019769,1.0078927075587656,0.9980613036004856,1.028532665947473
2005-07-21,1.0,0.9881095080019769,1.0031020670669704,0.9971125214814238,1.0225340613273561
2005-07-22,1.0,0.9881095080019769,1.0052773073553423,0.9975449718571088,1.0293662767781864
2005-07-25,1.0,0.9876157001519008,1.0047749198953944,0.9972957102449505,1.0264502236821547
2005-07-26,1.0,0.9907193722525156,1.0065566065806284,0.998589622849254,1.027699894134594
2005-07-27,1.0,0.9935855852127929,1.0086118279760063,0.9998641083027431,1.0314494648371355
2005-07-28,1.0,0.9947307617185945,1.013147546143863,1.0011091081353662,1.0379488698802666
2005-07-29,1.0,0.9826967879466941,1.0135899577703118,0.9975631979291609,1.0310327526459826
2005-08-01,1.0,0.9888795737105561,1.0130834160622804,0.9993463874731591,1.0302831368229266
2005-08-02,1.0,0.9888795737105561,1.013912664948409,0.9995099883900294,1.0364487059921161
2005-08-03,1.0,0.9888795737105561,1.0159011298516272,0.9999020321233879,1.0391987267811136
2005-08-04,1.0,0.9888795737105561,1.0109711767119534,0.9989315695423782,1.0308660677695214
2005-08-05,1.0,0.9888795737105561,1.0074504197727758,0.9982358038595882,1.0238669809938221
2005-08-08,1.0,0.9888795737105561,1.0069469462996261,0.998136030166049,1.0219508507081496
2005-08-09,1.0,0.9888795737105561,1.0156564046295924,0.9998626800544697,1.0281167927741546
2005-08-10,1.0,0.9888795737105561,1.017071216265216,1.0001412422428866,1.0276167381447712
2005-08-11,1.0,0.9888795737105561,1.022749952311827,1.001258084020178,1.0316994921518272
2005-08-12,1.0,0.9888795737105561,1.020235703530015,1.000765801050653,1.025366958433565
2005-08-15,1.0,0.9888795737105561,1.0197258406097098,1.0006657744838314,1.0316994921518272
2005-08-16,1.0,0.9888795737105561,1.0066028823290152,0.9980902400237811,1.0182843427712274
2005-08-17,1.0,0.9888795737105561,1.002489066899777,0.9972744348832908,1.0182010003329969
2005-08-18,1.0,0.9888795737105561,0.9898216782173903,0.9947541354991306,1.0181175646705625
2005-08-19,1.0,0.9888795737105561,0.9944495697406337,0.9956843261249166,1.020450873268407
2005-08-22,1.0,0.9888795737105561,0.9939525934439118,0.9955848074516408,1.020450873268407
2005-08-23,1.0,0.9888795737105561,0.9881017299600924,0.9944127131619561,1.018534370085919
2005-08-24,1.0,0.9888795737105561,0.9832776482782595,0.9934417345656652,1.0094520952512709
2005-08-25,1.0,0.988385381020046,0.9796606925769089,0.9925619239821766,1.0131183235155816
2005-08-26,1.0,0.9848433847786858,0.9764578455341105,0.9908458298494045,1.006202672402317
2005-08-29,1.0,0.9942683643278286,0.9759698606038086,0.9935915217203422,1.013951375001072
2005-08-30,1.0,0.9925617409475074,0.9679613411703843,0.9914492597261086,1.0086190437657805
2005-08-31,1.0,0.9997807684917982,0.9785558147592185,0.9957828510591984,1.0213671739679242
2005-09-01,1.0,0.9984390007755943,0.9782670149015532,0.9953231535702528,1.0206176513690721
2005-09-02,1.0,0.9984390007755943,0.9758161579821911,0.9948244360216142,1.0187845838490186
2005-09-06,1.0,0.9984390007755943,0.9758161579821911,0.9948244360216142,1.0306991964446526
2005-09-07,1.0,0.9984390007755943,0.9758161579821911,0.9948244360216142,1.0324492944232908
2005-09-08,1.0,0.9984390007755943,0.9758161579821911,0.9948244360216142,1.0290329070252642
2005-09-09,1.0,0.9984390007755943,0.9758161579821911,0.9948244360216142,1.0381983378497353
2005-09-12,1.0,0.9984390007755943,0.9753284937353234,0.9947250032943756,1.036115336239194
2005-09-13,1.0,0.9984390007755943,0.9642277213047156,0.9924606962504345,1.0303668521579725
2005-09-14,1.0,0.9984390007755943,0.9609517777211268,0.9917863233449458,1.0266166288860044
2005-09-15,1.0,0.9984390007755943,0.9646067107260231,0.9925407654826345,1.0261168539292325
2005-09-16,1.0,0.9984390007755943,0.9711121037277621,0.993879522030337,1.033413139466765
2005-09-19,1.0,0.9984390007755943,0.9706267903325958,0.9937801837472755,1.029982581989755
2005-09-20,1.0,0.9984390007755943,0.9589569963114906,0.9913905505407548,1.0212800093373362
2005-09-21,1.0,0.9984390007755943,0.9409919973958202,0.9876760294028987,1.0117410291280888
2005-09-22,1.0,0.9984390007755943,0.9467464796095737,0.9888840235537264,1.0153391104993945
2005-09-23,1.0,0.9984390007755943,0.951064594888587,0.989786084517933,1.0161758909530385
2005-09-26,1.0,0.9979400307602145,0.950589300238468,0.9895387616582335,1.0173470666258468
2005-09-27,1.0,0.9949974941321317,0.95103697170201,0.9887566351636082,1.017096573190136
2005-09-28,1.0,0.9908208417578183,0.9451229762505409,0.9862817877219833,1.0181003181928525
2005-09-29,1.0,1.0009626300039072,0.947239676417568,0.9897521619297922,1.0263843141700417
2005-09-30,1.0,1.0055106047618496,0.9519883610815355,0.9920936350852972,1.029564191762933
2005-10-03,1.0,1.0076244925862188,0.9515126047791459,0.9926201796888573,1.0258825815049892
2005-10-04,1.0,1.0076244925862188,0.9360245703457681,0.989388748923764,1.0143349925998626
2005-10-05,1.0,1.0076244925862188,0.9105769729521388,0.9840090682303186,1.0010306867976255
2005-10-06,1.0,1.0076244925862188,0.9092026477001791,0.9837120371059225,0.9974323257537083
2005-10-07,1.0,1.0076244925862188,0.9179712511351941,0.985609475651543,1.0008627900065146
2005-10-10,1.0,1.0076244925862188,0.9175124948877501,0.9855109639598237,0.992411643031845
2005-10-11,1.0,1.0076244925862188,0.912510066576458,0.9844363305407323,0.9909888552328796
2005-10-12,1.0,1.0076244925862188,0.9056496562573311,0.9829560976297896,0.9832067783691507
2005-10-13,1.0,1.0076244925862188,0.9056616094444049,0.982958692332507,0.9826217032658676
2005-10-14,1.0,1.0076244925862188,0.918082256985445,0.9856548391797502,0.9929970910319434
2005-10-17,1.0,1.0076244925862188,0.9176234452628138,0.9855563229539451,0.9966793538593143
2005-10-18,1.0,1.0076244925862188,0.8982385617002587,0.9813923285260716,0.9858850165211934
2005-10-19,1.003413697784592,1.0076244925862188,0.9098170142536057,0.9855974807724306,1.0022855778054798
2005-10-20,1.00256245125757,1.0076244925862188,0.903427729989232,0.9837951226186724,0.9846293797197084
2005-10-21,1.0059643337414148,1.0076244925862188,0.9193661983509241,0.988935488800998,0.9884786070961518
2005-10-24,1.0118190080670968,1.0076244925862188,0.9193661983509241,0.9918132723475107,1.003791521594268
2005-10-25,1.0118988024864395,1.0071209321201586,0.9193661983509241,0.9917036830655382,1.0017837519162236
2005-10-26,1.012239897218297,1.0110920212161951,0.9193661983509241,0.9930439163204766,0.9988547406558583
2005-10-27,1.0076012145106652,0.9972110916033725,0.9193661983509241,0.9866786126001208,0.9882276475394217
