ticker,entry_date,exit_date,entry_px,exit_px,ret,hold_days,reason
SPY,2005-06-24,2005-07-01,81.17363843536377,81.46730261230469,0.0036177283980531882,5,close_exit
GOOGL,2005-06-24,2005-07-01,7.376994835853576,7.220866005659103,-0.021164286226100892,5,close_exit
GOOG,2005-06-24,2005-07-01,7.3424660139083855,7.187066099643707,-0.02116453981132682,5,close_exit
QQQ,2005-06-24,2005-07-01,31.542338376045226,31.30622511959076,-0.0074855977270785745,5,close_exit
INTC,2005-06-24,2005-07-01,15.198545868873595,15.247340205669405,0.0032104608701901682,5,close_exit
MSFT,2005-06-24,2005-07-01,17.289117762565613,17.04420991420746,-0.014165433524226834,5,close_exit
CSCO,2005-06-24,2005-07-01,12.426997251033782,12.215167551517487,-0.017045927929103977,5,close_exit
XOM,2005-06-24,2005-07-01,28.794054825782773,28.844409615516664,0.0017487912014670925,5,close_exit
GE,2005-06-24,2005-07-01,101.15483070373534,100.93752021408082,-0.0021482957179869144,5,close_exit
EBAY,2005-06-24,2005-07-01,12.801778282642363,12.234559401035309,-0.04430781951411655,5,close_exit
SPY,2005-07-25,2005-08-01,84.04587003707886,84.2753918838501,0.002730911663713975,5,close_exit
GOOGL,2005-07-25,2005-08-01,7.342251329898834,7.229790793657303,-0.015316900932493716,5,close_exit
GOOG,2005-07-25,2005-08-01,7.307883759498596,7.1959499001503,-0.01531686368202112,5,close_exit
QQQ,2005-07-25,2005-08-01,33.50466281318664,33.79506758499146,0.008667592729526552,5,close_exit
MSFT,2005-07-25,2005-08-01,17.73791039085388,17.878837252616883,0.007944952852826814,5,close_exit
INTC,2005-07-25,2005-08-01,15.443119617462157,15.77091537666321,0.021226006617885762,5,close_exit
AMGN,2005-07-25,2005-08-01,54.451070571899415,54.772370470047,0.00590070855858249,5,close_exit
XOM,2005-07-25,2005-08-01,29.680400181770324,29.299525190353396,-0.012832542320331042,5,close_exit
CSCO,2005-07-25,2005-08-01,12.137248261928558,12.388852523803711,0.020729926293455714,5,close_exit
GE,2005-07-25,2005-08-01,101.12578634262084,99.5137939567566,-0.01594046824419937,5,close_exit
SPY,2005-08-25,2005-09-01,82.95425241851807,83.4847717666626,0.006395324322470808,5,close_exit
QQQ,2005-08-25,2005-09-01,32.924493112564086,33.17284696006775,0.00754313351627256,5,close_exit
GOOGL,2005-08-25,2005-09-01,7.013169844865798,7.096901720285416,0.011939233937263927,5,close_exit
GOOG,2005-08-25,2005-09-01,6.9803437056541435,7.063683741331101,0.011939245285221611,5,close_exit
MSFT,2005-08-25,2005-09-01,18.71848962306976,18.81739361858368,0.005283759400759758,5,close_exit
INTC,2005-08-25,2005-09-01,14.869022134780883,14.737476780414582,-0.008846940516592294,5,close_exit
CSCO,2005-08-25,2005-09-01,11.255125024795532,11.35322633934021,0.008716146140407721,5,close_exit
XOM,2005-08-25,2005-09-01,29.44769798183441,30.661011465072633,0.041202320262408554,5,close_exit
AAPL,2005-08-25,2005-09-01,1.3795153158903122,1.3841206637620926,0.0033383811101859173,5,close_exit
C,2005-08-25,2005-09-01,273.39923506164547,275.9032086334229,0.009158670730050833,5,close_exit
SPY,2005-09-26,2005-10-03,83.30050242233276,83.9154340133667,0.007382087420268579,5,close_exit
QQQ,2005-09-26,2005-10-03,33.06955080413818,33.71834662628174,0.01961913017767314,5,close_exit
GOOG,2005-09-26,2005-10-03,7.763128357887267,7.863946880817414,0.012986842195867654,5,close_exit
GOOGL,2005-09-26,2005-10-03,7.799636089324951,7.9009280834198,0.012986758989112834,5,close_exit
MSFT,2005-09-26,2005-10-03,17.499681747436522,17.64130044078827,0.008092643934652921,5,close_exit
VLO,2005-09-26,2005-10-03,28.68642275905609,29.42336841964722,0.025689702295085937,5,close_exit
XOM,2005-09-26,2005-10-03,32.1446768245697,31.06365351867676,-0.03362993231484801,5,close_exit
INTC,2005-09-26,2005-10-03,14.144842400550841,14.352410735130311,0.014674489025864768,5,close_exit
AAPL,2005-09-26,2005-10-03,1.6125291654467582,1.628870201766491,0.010133792721327639,5,close_exit
WMT,2005-09-26,2005-10-03,9.521208153247832,9.655105030059815,0.014063013291680804,5,close_exit
SPY,2005-10-25,2005-11-01,82.02617630767821,82.4712025718689,0.005425417643770247,5,close_exit
QQQ,2005-10-25,2005-11-01,33.282818853378295,33.104666650772096,-0.00535267771011283,5,close_exit
GOOGL,2005-10-25,2005-11-01,8.60943180656433,9.405841982841492,0.09250438288737395,5,close_exit
GOOG,2005-10-25,2005-11-01,8.569133232593536,9.36181855726242,0.09250472634196272,5,close_exit
AAPL,2005-10-25,2005-11-01,1.6802167675495148,1.7204262494444849,0.02393112762088001,5,close_exit
MSFT,2005-10-25,2005-11-01,17.333476249694822,17.959540670394897,0.03611880338839124,5,close_exit
XOM,2005-10-25,2005-11-01,28.46246440029144,28.036334546089172,-0.014971642940303731,5,close_exit
INTC,2005-10-25,2005-11-01,13.496587336063385,13.214720930576325,-0.020884272332599374,5,close_exit
VLO,2005-10-25,2005-11-01,25.643697704315183,26.824809111595155,0.04605854510136509,5,close_exit
CSCO,2005-10-25,2005-11-01,11.02332831430435,11.243875524520874,0.020007315751480625,5,close_exit
SPY,2005-11-23,2005-12-01,87.03458441162108,86.7148835029602,-0.00367326288534775,5,close_exit
QQQ,2005-11-23,2005-12-01,35.66321988487243,35.80656209754944,0.004019328965240376,5,close_exit
GOOG,2005-11-23,2005-12-01,10.445196680545806,10.218342748165131,-0.021718493133134564,5,close_exit
GOOGL,2005-11-23,2005-12-01,10.494315427780151,10.266397245883942,-0.021718251510991604,5,close_exit
MSFT,2005-11-23,2005-12-01,19.391502047538758,19.351304309844974,-0.002072956370024248,5,close_exit
AAPL,2005-11-23,2005-12-01,2.0099714062213896,2.1423051388263703,0.06583861451728779,5,close_exit
INTC,2005-11-23,2005-12-01,15.611599811553955,15.912137302398683,0.019250909225991375,5,close_exit
XOM,2005-11-23,2005-12-01,29.943127610206602,29.65337878417969,-0.009676638653075997,5,close_exit
CSCO,2005-11-23,2005-12-01,11.229366760253905,11.378956952095033,0.013321338151550899,5,close_exit
VLO,2005-11-23,2005-12-01,25.548656616210938,25.655077573776246,0.004165422830795018,5,close_exit
SPY,2005-12-23,2006-01-03,87.31000586700439,87.18143935394288,-0.0014725289705895817,5,close_exit
GOOGL,2005-12-23,2006-01-03,10.694595571517944,10.79051383304596,0.00896885355660082,5,close_exit
GOOG,2005-12-23,2006-01-03,10.644536031246185,10.740007711410524,0.008969078584927459,5,close_exit
QQQ,2005-12-23,2006-01-03,35.407160064697266,35.29485900115967,-0.003171704913141671,5,close_exit
MSFT,2005-12-23,2006-01-03,18.502496518135068,18.622765944480896,0.006500172894395417,5,close_exit
AAPL,2005-12-23,2006-01-03,2.196861469745636,2.2365549225807193,0.018068254817942275,5,close_exit
INTC,2005-12-23,2006-01-03,15.218970428466797,14.96958227300644,-0.016386664040944687,5,close_exit
PFE,2005-12-23,2006-01-03,9.397793472290038,9.317876153469086,-0.008503838593239221,5,close_exit
CSCO,2005-12-23,2006-01-03,11.171420206546783,11.224579947948456,0.004758548189828238,5,close_exit
XOM,2005-12-23,2006-01-03,28.557742117881773,29.2136992893219,0.02296950398713049,5,close_exit
SPY,2006-01-25,2006-02-01,87.24112378692627,88.34431740188599,0.012645339343107409,5,close_exit
GOOG,2006-01-25,2006-02-01,10.695669945716856,9.914573962688447,-0.07302917788157848,5,close_exit
GOOGL,2006-01-25,2006-02-01,10.745968023777008,9.961199617385866,-0.07302910306960986,5,close_exit
QQQ,2006-01-25,2006-02-01,35.28741791152954,36.01255569839478,0.0205494714485277,5,close_exit
AAPL,2006-01-25,2006-02-01,2.2223201308250427,2.256600188970566,0.015425346542127905,5,close_exit
INTC,2006-01-25,2006-02-01,12.429508576869964,12.616131977558137,0.015014543779748424,5,close_exit
MSFT,2006-01-25,2006-02-01,18.33579867839813,19.455378223419192,0.06105976427086679,5,close_exit
CSCO,2006-01-25,2006-02-01,11.956966172218323,11.951441638946534,-0.0004620346994561597,5,close_exit
XOM,2006-01-25,2006-02-01,30.11316879558563,30.952424904823307,0.027870069567726974,5,close_exit
GE,2006-01-25,2006-02-01,96.59243864822388,97.61519996643067,0.010588420092917827,5,close_exit
SPY,2006-02-22,2006-03-01,89.03883615875243,89.01867030334473,-0.00022648381625001157,5,close_exit
GOOG,2006-02-22,2006-03-01,9.028082799911498,9.002032262325287,-0.0028855005169499126,5,close_exit
GOOGL,2006-02-22,2006-03-01,9.070538709640502,9.04436662197113,-0.0028853950693749075,5,close_exit
QQQ,2006-02-22,2006-03-01,35.28741791152954,35.59389992713928,0.008685305804412735,5,close_exit
AAPL,2006-02-22,2006-03-01,2.136061765551567,2.0675034432411197,-0.032095664749068775,5,close_exit
MSFT,2006-02-22,2006-03-01,18.62094102573395,18.894736062049866,0.014703609014041552,5,close_exit
INTC,2006-02-22,2006-03-01,11.864284699916839,12.234770057678224,0.031226944323409667,5,close_exit
XOM,2006-02-22,2006-03-01,30.298293202400206,30.308191137313845,0.00032668292063564586,5,close_exit
CSCO,2006-02-22,2006-03-01,12.66523066520691,13.54668148469925,0.06959611260091791,5,close_exit
AMGN,2006-02-22,2006-03-01,50.42785406684875,51.02832515525818,0.011907528081869678,5,close_exit
SPY,2006-03-27,2006-04-03,89.91154860305785,89.62136563110352,-0.003227427137702188,5,close_exit
GOOGL,2006-03-27,2006-04-03,9.174773044109344,9.66170306301117,0.053072704530218395,5,close_exit
GOOG,2006-03-27,2006-04-03,9.131828608989714,9.616480515003206,0.053072821092632116,5,close_exit
QQQ,2006-03-27,2006-04-03,35.35496799659729,35.89247187995911,0.015203065193371224,5,close_exit
AAPL,2006-03-27,2006-04-03,1.782347437262535,1.8745172943472863,0.05171262075945915,5,close_exit
MSFT,2006-03-27,2006-04-03,18.823043598175047,19.187131295204164,0.0193426581163747,5,close_exit
INTC,2006-03-27,2006-04-03,11.628768708229064,11.38186229801178,-0.02123237777036191,5,close_exit
CSCO,2006-03-27,2006-04-03,13.965887535095215,13.887601141929627,-0.00560554371992894,5,close_exit
XOM,2006-03-27,2006-04-03,30.816170190811157,30.654773740768434,-0.005237394817180996,5,close_exit
ORCL,2006-03-27,2006-04-03,11.03262747144699,10.981781486034395,-0.0046086923123423995,5,close_exit
SPY,2006-04-24,2006-05-01,90.52699136352538,90.08418494796753,-0.004891429714919959,5,close_exit
GOOGL,2006-04-24,2006-05-01,10.932099060058594,9.889796547412873,-0.0953433102755048,5,close_exit
GOOG,2006-04-24,2006-05-01,10.880928887844085,9.84350546503067,-0.09534327753693894,5,close_exit
QQQ,2006-04-24,2006-05-01,35.91126101875305,35.430781148910526,-0.013379643493766968,5,close_exit
AAPL,2006-04-24,2006-05-01,1.9692382164001463,2.082464115977287,0.0574973096876632,5,close_exit
INTC,2006-04-24,2006-05-01,11.134178732872009,11.464214747428894,0.029641702587592134,5,close_exit
MSFT,2006-04-24,2006-05-01,18.892727165222166,16.910569721221925,-0.10491642771664045,5,close_exit
XOM,2006-04-24,2006-05-01,32.38488246917724,31.855255429267885,-0.016354144265103843,5,close_exit
CSCO,2006-04-24,2006-05-01,13.064445599555969,13.482359718799591,0.0319886608321005,5,close_exit
GE,2006-04-24,2006-05-01,100.79123041534423,102.05561323165894,0.012544571696410323,5,close_exit
