ticker,entry_date,exit_date,entry_px,exit_px,ret,hold_days,reason
VFC,2006-06-02,2006-06-14,8.71810774638066,8.458547719726278,-0.029772518785643465,7,open_exit
FE,2006-05-16,2006-06-14,21.621056681952094,21.5171634349823,-0.0048051882245199184,20,close_exit
LH,2006-06-02,2006-06-26,48.83655366801492,50.14228260845918,0.026736713432328862,15,open_exit
BAX,2006-08-01,2006-08-07,15.6556043721681,15.48728081644581,-0.010751648529233826,3,open_exit
WFC,2006-07-31,2006-08-10,20.83659215880133,20.26057136808672,-0.027644673674303344,7,open_exit
MTB,2006-07-31,2006-08-10,67.20624559848122,66.48568451103522,-0.010721638755882057,7,open_exit
MS,2006-07-31,2006-08-10,35.45485705119504,34.49313525577096,-0.027125248144010405,7,open_exit
VNO,2006-08-07,2006-08-14,35.859918699692294,34.67841374583671,-0.03294778674068011,4,open_exit
RF,2006-07-31,2006-08-15,19.627948645973028,19.74895766568873,0.006165138390074709,10,open_exit
AKAM,2006-08-01,2006-08-15,39.03951045799255,38.18090076255798,-0.021993352000621247,9,open_exit
PCAR,2006-08-16,2006-08-25,13.092635171562637,12.43370519879213,-0.05032829251988269,6,open_exit
SEIC,2006-08-16,2006-08-25,20.144705902144953,19.837975341382187,-0.015226360824166063,6,open_exit
UHS,2006-07-31,2006-08-25,25.458396493365377,25.999124671936038,0.021239679361250374,19,close_exit
USB,2006-07-31,2006-08-25,16.786348794372707,16.938315393447876,0.00905298709902369,19,close_exit
TROW,2006-08-16,2006-08-28,23.579879689796307,22.778208971702014,-0.03399808347797462,7,open_exit
ECL,2006-08-16,2006-09-06,34.48495961173406,34.08544144917629,-0.011585287239885056,13,open_exit
BDX,2006-07-31,2006-09-07,35.4816875368215,37.530552676706584,0.057744298034270614,26,open_exit
JNJ,2006-08-25,2006-09-07,36.49776577976497,35.77407574761868,-0.019828337890959724,7,open_exit
EXC,2006-08-29,2006-09-07,20.43948942266147,20.04229457020637,-0.01943271890220144,5,open_exit
TFC,2006-08-16,2006-09-07,20.166328461339774,19.9210685710907,-0.01216185141084325,15,close_exit
INGR,2006-07-31,2006-09-08,21.13851846777549,22.035815137099476,0.04244841807110866,27,open_exit
BAX,2006-08-25,2006-09-08,16.1327294079739,16.291626417197474,0.009849356869832349,8,open_exit
DVN,2006-09-06,2006-09-11,44.513618340503925,40.94841132538142,-0.08009250085784292,2,open_exit
CAG,2006-08-29,2006-09-12,9.052400212579085,8.921862635135652,-0.014420217221730924,8,open_exit
CVS,2006-09-08,2006-09-14,23.196525845214598,22.522960676047123,-0.029037329713166082,3,open_exit
SRE,2006-09-07,2006-09-19,13.37564551826073,13.286132029531466,-0.0066922742986168515,7,open_exit
ESS,2006-08-28,2006-09-20,61.61757375792898,63.160713827675686,0.025043830446961346,15,open_exit
MU,2006-09-11,2006-09-20,17.63929558756671,17.446228600838133,-0.010945277591734692,6,open_exit
L,2006-09-14,2006-09-25,34.79360124832134,34.03243451008423,-0.0218766299241252,6,open_exit
HUM,2006-09-20,2006-09-25,58.606399493981314,57.11131973863109,-0.025510520493649547,2,open_exit
VFC,2006-09-08,2006-10-02,9.62113296981503,10.01513516106841,0.04095174575484073,15,open_exit
LIN,2006-09-25,2006-10-09,40.16521658432149,39.91859948573297,-0.006140066444576098,9,open_exit
AIZ,2006-09-11,2006-10-17,36.51148113494399,37.45742903114772,0.02590823124122421,25,open_exit
AKAM,2006-09-11,2006-10-17,40.990486221313475,48.975500000000004,0.19480163605706702,26,close_exit
BDX,2006-10-02,2006-10-18,38.65775196076983,39.494318285750495,0.02164032522712711,11,open_exit
SEIC,2006-09-12,2006-10-19,20.573074982263208,22.731431593019053,0.10491171653321851,26,open_exit
BAX,2006-10-09,2006-10-20,17.064612942073254,16.775714042577313,-0.01692970713585029,8,open_exit
INTU,2006-09-20,2006-10-25,28.826407244498228,30.13478662995132,0.045388222484881835,24,open_exit
TJX,2006-08-16,2006-10-27,5.074008969480179,5.544090124130249,0.0926449199198458,51,close_exit
ORCL,2006-09-08,2006-10-27,12.749984483771705,14.36411314058304,0.12659848008958852,35,close_exit
MS,2006-09-20,2006-10-30,39.514073339165186,41.2386473298781,0.04364455104160481,27,open_exit
JNJ,2006-10-18,2006-10-31,37.597266393134106,38.19056327186348,0.015780319572321844,8,open_exit
PPL,2006-10-25,2006-11-01,13.729161915773057,13.504132563344754,-0.016390611008074152,4,open_exit
AEP,2006-10-18,2006-11-03,18.83127896554826,18.969696853425237,0.00735042416026066,11,open_exit
ILMN,2006-10-19,2006-11-03,21.192498607635496,20.45669311141968,-0.0347200917569348,10,open_exit
HOG,2006-10-17,2006-11-06,42.26736964316555,43.40425859914109,0.026897556331834993,13,open_exit
T,2006-10-20,2006-11-06,6.444609706649996,6.390802352153054,-0.008349202969020753,10,open_exit
CAG,2006-10-30,2006-11-06,9.945874213279337,9.802131957197014,-0.014452450634294567,4,open_exit
XOM,2006-11-06,2006-11-17,36.63319711714321,36.6482758209373,0.00041161309906612153,8,open_exit
MAT,2006-10-30,2006-11-21,13.720994152155843,14.104328699588777,0.027937811442963367,16,close_exit
CMCSA,2006-09-26,2006-11-22,7.497784854981419,8.192829560279847,0.092700006567493,41,close_exit
ZBH,2006-11-06,2006-11-27,62.86365806439481,62.32965255465377,-0.008494661720035879,13,open_exit
ACN,2006-11-03,2006-11-27,23.230527443398795,23.340403351783753,0.004729806873850384,15,close_exit
CNP,2006-11-06,2006-11-28,7.283718841786001,7.4101849319458015,0.017362846220021044,14,open_exit
HOG,2006-11-17,2006-11-28,46.25486641777595,46.71852847967532,0.010024070931511364,5,open_exit
HAS,2006-10-31,2006-11-28,13.928468850897875,14.520243074893953,0.04248666743853402,19,close_exit
ES,2006-11-29,2006-12-08,14.135579177026617,14.274387307556776,0.00981976958933184,6,open_exit
PNW,2006-11-29,2006-12-08,20.52346400118806,20.83698128550728,0.015276041330112289,6,open_exit
PPLI,2006-11-24,2006-12-11,5.093018092928452,5.181881131761584,0.0174480116134903,10,open_exit
AES,2006-11-01,2006-12-11,13.74376528962719,14.2717530708313,0.03841653070156825,27,close_exit
RL,2006-11-29,2006-12-12,59.24367299121538,60.05705878685731,0.013729496409895736,8,open_exit
OKE,2006-11-29,2006-12-12,6.789011645083073,6.957199802743023,0.024773585089040262,8,open_exit
SGI,2006-11-22,2006-12-14,4.750294370635532,4.649351769685746,-0.021249756977962164,15,close_exit
MOS,2006-12-12,2006-12-19,16.319239584049033,15.259260507923232,-0.06495272470672342,4,open_exit
EQIX,2006-12-12,2006-12-19,58.63899844201031,57.03665646201922,-0.027325534585582956,4,open_exit
IONS,2006-12-12,2006-12-20,12.406199618339539,11.76411545753479,-0.05175510475065892,5,open_exit
PPLI,2006-12-15,2006-12-20,5.433034329595549,5.252707590434718,-0.033190796932486055,2,open_exit
TTWO,2006-12-08,2006-12-22,19.388491356090164,18.989327262570455,-0.020587681949494563,9,open_exit
AKAM,2006-12-08,2006-12-26,53.08653137397766,53.203384542465216,0.0022011829641752634,10,open_exit
FFIV,2006-12-11,2006-12-26,37.87893061065674,36.456760974884034,-0.03754513690976791,9,open_exit
ETR,2006-11-29,2006-12-29,20.615888258545212,21.140269151687622,0.025435765200418015,21,close_exit
SPGI,2006-11-03,2007-01-03,43.24145018231075,44.93149868965149,0.039083992331786055,39,close_exit
NEE,2006-10-30,2007-01-05,7.138055077657261,7.652437126159668,0.07206193324459886,45,close_exit
PNW,2006-12-20,2007-01-08,21.3741938273121,21.259817854912157,-0.0053511245066840685,9,open_exit
TMO,2006-12-20,2007-01-08,43.68712614295348,42.481524560227385,-0.027596266661741864,9,open_exit
TFC,2006-12-28,2007-01-08,21.08475902532897,20.358243578755896,-0.03445690063141427,4,open_exit
T,2007-01-03,2007-01-08,6.765130538039906,6.417088981937175,-0.05144639177998345,2,open_exit
C,2006-12-28,2007-01-11,374.2797851844801,358.5135773931278,-0.04212412322397063,7,open_exit
MS,2006-12-19,2007-01-18,44.58013194905571,44.038909318923956,-0.012140444778185988,18,close_exit
FFIV,2007-01-09,2007-01-19,39.66482295799255,37.3912948474884,-0.05731849888532081,6,open_exit
ACN,2006-12-22,2007-01-19,25.712743088274802,25.743095829010013,0.0011804551786251949,16,close_exit
ICE,2007-01-04,2007-01-22,19.686552553174295,21.56864654939962,0.0956030260321965,10,open_exit
ROST,2007-01-08,2007-01-23,6.34203148407803,6.569283257811708,0.03583264673223474,9,open_exit
DLTR,2007-01-08,2007-01-26,10.702015050888061,10.291518765449524,-0.03835691535534458,12,open_exit
ITT,2007-01-08,2007-01-26,15.000395258425579,15.156257669107465,0.010390553581869133,12,open_exit
GS,2007-01-11,2007-01-26,151.59289971955562,156.22349587909838,0.03054626020156137,9,open_exit
SPGI,2007-01-19,2007-01-26,46.55857046801365,45.540949961122585,-0.021856781612102583,4,open_exit
MS,2007-01-23,2007-01-30,45.130616423973265,44.19616683733687,-0.020705447004265132,4,open_exit
MGM,2006-12-19,2007-01-31,53.77896744752379,63.53377086565663,0.18138696001650345,26,open_exit
PVH,2007-01-08,2007-02-05,50.592700994321326,52.16600828742981,0.03109751529741578,19,close_exit
SBAC,2007-01-26,2007-02-07,26.81422963535174,26.44108068919903,-0.013916079306666052,7,open_exit
EQIX,2007-01-22,2007-02-12,60.839131502824245,58.88177102172461,-0.03217272227182877,14,open_exit
CLF,2007-01-31,2007-02-12,21.944234201878093,21.531340467691304,-0.01881559093784424,7,open_exit
DOC,2007-01-26,2007-02-13,12.477979155136717,12.649002851534792,0.013706041200403085,11,open_exit
PSA,2007-01-26,2007-02-13,52.10510222292159,54.440028981690304,0.0448118640815478,11,open_exit
AKAM,2007-02-06,2007-02-13,57.87892347335815,55.27234923744202,-0.045034946738702564,4,open_exit
SYK,2007-01-19,2007-02-26,46.96836533609315,49.7143538684845,0.05846463918302858,25,close_exit
ALB,2007-01-30,2007-02-27,29.622324131287254,30.861308757781984,0.041826043797357215,19,close_exit
VMC,2007-01-22,2007-02-28,77.08500241419263,91.10005480070237,0.18181295903973838,25,open_exit
MTD,2007-02-12,2007-02-28,88.7443469467163,86.41676908493042,-0.026227900050731168,10,open_exit
FIS,2007-02-12,2007-02-28,18.680339661570258,18.575544117329486,-0.005609937835143408,10,open_exit
TSN,2007-02-13,2007-02-28,12.861586912102764,12.651826972224018,-0.01630902479703822,9,open_exit
